"Opportunity Name","ID","Opportunity Amount","Currency","Expected Close Date","Sales Stage","Probability (%)","Next Step","Type","Account Name","Description","Amount","Lead Source","campaign_id","Assigned to","Assigned User","Date Created","Date Modified","Created By","Modified By","Deleted","lostreason","Longitude","Address","Geocode Status","Latitude"
"1x Developers","e3d4d1c7-440e-0033-bd5b-68f201a8df2f","SE0,00","'-99","02/27/2020","Closed Won","0","","","Red Bee Media","","SE0,00","","","adminalex","1","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"360 player","179b2c74-2b45-fbf4-9adb-68f20128f70e","SE0,00","'-99","02/25/2021","Closed Lost","0","","","Focal Point VR","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Accedo One CTV Developer","c295dc51-1fd4-0856-5155-68f20150808d","SE960000,00","'-99","09/08/2021","Closed Lost","25","","","Accedo.tv","","SE960000,00","","","adminalex","1","10/17/2025 08:41","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Ad Creative Check Investigation","86c6b528-feda-3caf-b1d8-68f201353fc5","SE0,00","'-99","06/01/2021","Closed Lost","0","","","Broadpeak","","SE0,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Ad Fraud Detection Investigation","3094c178-3b11-b556-364a-68f2013621dc","SE0,00","'-99","06/01/2021","Closed Lost","0","","","Broadpeak","","SE0,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Ad load test","d33403de-4e32-56c8-a5ec-68f201c7cadf","SE50000,00","'-99","02/07/2025","Closed Lost","25","","","Seven West Media","","SE50000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Ad Server hosting","b4da0c2f-14e7-38c6-54d6-68f201548157","SE24000,00","'-99","02/10/2022","Closed Won","100","","","Telenor","","SE24000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Ad Tech Development","e67858cd-4051-c628-d9b5-6914b9583139","SE500000,00","'-99","01/20/2026","Proposal/Price Quote","25","","","Weather Group","","SE500000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","11/12/2025 16:46","12/09/2025 09:27","aa965b03-becb-7821-8519-68ff576136fb","1","0","","0,00000000","","","0,00000000"
"Ad tracking in EPAS","ea438ef4-c499-42a9-1922-68f201bd776d","SE400000,00","'-99","08/29/2025","Closed Lost","50","","","TV 2","","SE400000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Ad validation development","5059c33e-acf7-3c97-a047-68f20106d7cd","SE0,00","'-99","07/02/2020","Closed Won","0","","","Ad Lightning","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Adapter maintenance","35ecbce6-9d7f-493b-f471-68f201566986","SE50000,00","'-99","12/09/2021","Closed Won","50","","","Bitmovin","","SE50000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Adobe integration","b7353dd0-1a7f-dbc5-7e76-68f2011ac3c1","SE0,00","'-99","02/04/2021","Closed Lost","0","","","Red Bee Media","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"AdTech Engineer","7a85b93a-7cc9-2075-5cd3-6921a8194380","SE50000000,00","'-99","01/20/2026","Closed Won","50","","","Flosports","","SE50000000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","11/22/2025 12:10","12/18/2025 13:58","aa965b03-becb-7821-8519-68ff576136fb","aa965b03-becb-7821-8519-68ff576136fb","0","","0,00000000","","","0,00000000"
"Adult Content Detector","875e3314-dfcd-44c5-499a-68f2017c927f","SE125000,00","'-99","03/31/2022","Closed Lost","50","","","Ammo Content LLC","","SE125000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Advice ""Play first""","42dad60f-fa6a-7b06-34bc-68f201a5c3fa","SE0,00","'-99","12/10/2020","Closed Lost","0","","","Sveriges Television","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Advisory","59f11d77-2947-9ddd-aaa6-68f2014e865b","SE80000,00","'-99","04/27/2023","Closed Lost","40","","","Imagien","","SE80000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Advisory services","b8fa3a84-a290-0b49-58b1-68f2016ddc99","SE100000,00","'-99","04/14/2022","Closed Won","75","","","SF Anytime","","SE100000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Agile Content deal","46140439-3da9-c56a-cae0-68f2019c1bfd","SE75000,00","'-99","04/18/2025","Closed Lost","20","","","Agile Content","","SE75000,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"AI workshop","1583da22-de70-ebe8-5bef-68f201d3dde4","SE30000,00","'-99","11/09/2023","Closed Lost","50","","","Agile Content","","SE30000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Altibox test CDN functionality+security","b10427ca-3ac0-ed9a-493e-68f201ae8c87","SE100000,00","'-99","12/07/2023","Closed Lost","25","","","Nordic Content Protection","","SE100000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"AMS migration","64539f68-0f5f-e622-a549-68f2010c4ff2","SE50000,00","'-99","05/30/2024","Closed Won","25","","","Databeat.Net","","SE50000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"AMS Migration","ee926e07-d915-406a-d286-68f2019a3d6e","SE100000,00","'-99","01/11/2024","Closed Lost","50","","","Creative Craft Group","","SE100000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Android developer","71e2ec71-2a46-bf22-bc8b-68f20149df1b","SE1000000,00","'-99","10/30/2024","Closed Lost","25","","","TV4 Media","","SE1000000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:42","11/06/2025 12:13","1","1","0","","0,00000000","","","0,00000000"
"Android troubleshooting","d701046f-694d-5c72-aabb-68f201c0348c","SE0,00","'-99","04/30/2020","Closed Lost","0","","","Altibox","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Android TV developers","a3adf62a-a4f8-a083-d270-68f20101d4ab","SE800000,00","'-99","02/29/2024","Closed Won","75","","","Invidi","","SE800000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Android TV development","8afcc29b-fd02-5d1d-f3af-68f20195d43f","SE360000,00","'-99","03/21/2024","Closed Lost","65","","","Invidi","","SE360000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Android TV on STB","a43916f7-59b7-bdcd-6100-68f201e370ad","SE20000,00","'-99","05/25/2023","Closed Lost","35","","","Invidi","","SE20000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Android TV utrullningsprojekt","2f2b49d5-6c11-6be5-9f69-68f201b0d475","SE300000,00","'-99","12/01/2023","Closed Lost","10","","","Nuuday","","SE300000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Android, React Native","84d53d00-dced-50f8-3852-68f2018a66d2","SE500000,00","'-99","11/28/2022","Closed Won","80","","","Red Bee Media","","SE500000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:41","11/06/2025 12:12","1","1","0","","0,00000000","","","0,00000000"
"App development","25e17c71-d971-73c4-56f3-68f2012dae37","SE0,00","'-99","01/28/2021","Closed Lost","0","","","Ammo Content LLC","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"App evaluation","d8284c58-0c26-f25e-f91b-68f2014389d4","SE60000,00","'-99","03/16/2023","Closed Lost","50","","","Ammo Content LLC","","SE60000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Apple/Android streaming devs","5a4c8bd6-115d-8779-cf57-68f201225a6d","SE1000000,00","'-99","09/11/2023","Closed Lost","15","","","Dolby","","SE1000000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:41","11/06/2025 12:12","1","1","0","","0,00000000","","","0,00000000"
"Arch and Video Dev Team","dc16054b-9ad3-ef7c-045d-68f2013eee79","SE200000,00","'-99","01/26/2023","Closed Lost","15","","","Recall@k","","SE200000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Arkitekt","dc24c987-afcc-ede0-a5f8-68f20125b136","SE1500000,00","'-99","10/04/2024","Closed Won","90","","","Allente","","SE1500000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","11/06/2025 12:13","1","1","0","","0,00000000","","","0,00000000"
"Arkitekt/Tech-hjälp på CDN-sidan","12799c8e-8c47-c93f-0de6-68f201390e11","SE700000,00","'-99","04/18/2024","Closed Lost","15","","","Telenor","","SE700000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:42","11/06/2025 12:13","1","1","0","","0,00000000","","","0,00000000"
"Ateliere UI development","9299571f-5172-d851-2e4f-68f2016bd85b","SE1000000,00","'-99","11/22/2024","Closed Lost","45","","","Ateliere","","SE1000000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Atmos distribution cost","3e27f6b5-0eb7-6d0f-d14b-68f20124fd85","SE30000,00","'-99","10/07/2021","Closed Won","75","","","Dolby","","SE30000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Audio Contribution Consolidation","dd0039e1-1c93-adf3-c982-68f2013b8b09","SE100000000,00","'-99","10/31/2025","Closed Lost","10","","","Sveriges Radio","","SE100000000,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:42","10/31/2025 09:34","1","88d6d3dc-1e82-5e98-2dea-68ff57fae638","0","","0,00000000","","","0,00000000"
"Audit","ad17d65d-a0f3-6777-cefc-68f201fda763","SE0,00","'-99","08/26/2020","Closed Won","0","","","Recall@k","","SE0,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Audit data analytics","7deb97ba-44ee-6d12-4db8-68f201d16544","SE0,00","'-99","04/02/2020","Closed Lost","0","","","Tele2","","SE0,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Audit och inbyggd spelar-strategi","23b1da3c-30e8-faf7-146e-68f20173362f","SE100000,00","'-99","09/22/2021","Closed Won","50","","","Utbildningsradion UR","","SE100000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:41","11/06/2025 12:11","1","1","0","","0,00000000","","","0,00000000"
"Audit video distribution system","6341ed66-ecab-f901-2106-68f201c5e240","SE32000,00","'-99","07/15/2021","Closed Won","75","","","Widebeam Digital","","SE32000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Audit, Red Bee Media client","b4bf8951-e367-3dd8-c3ca-68f20110a8df","SE0,00","'-99","10/22/2020","Closed Won","0","","","Red Bee Media","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Automation and QC processes","59944ab1-fef7-a7c5-f607-68f20158acbe","SE0,00","'-99","03/12/2020","Closed Won","0","","","Ammo Content LLC","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"AutoVMAF training & Measurement","85b06f26-0ab0-18ff-57b4-68f2017f6bb9","SE6000,00","'-99","11/13/2023","Closed Won","80","","","Imagien","","SE6000,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"AWS developer","dfbea28c-6970-892e-70ff-68f2015bf41a","SE500000,00","'-99","09/14/2023","Closed Won","35","","","Vimond","","SE500000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"AWS development","f038c20a-bcab-99a5-ef85-68f201384708","SE0,00","'-99","10/29/2020","Closed Won","0","","","Paramount","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"AWS Devops engineer","a2724b4d-d9dd-1d40-d20f-68f201fcb655","SE800000,00","'-99","06/03/2022","Closed Won","50","","","Vimond","","SE800000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Backend Dev (vikarie föräldraledighet)","96cc2e46-2314-799b-1856-68f2016795b8","SE600000,00","'-99","11/15/2023","Closed Lost","25","","","SF Anytime","","SE600000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Backend developer","11d81ee4-2239-0653-761d-68f2012477f7","SE1000000,00","'-99","05/30/2024","Closed Won","75","","","ITV","","SE1000000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Backend developer","c4b47a65-b13c-a39e-02b5-68f2000751dc","SE0,00","'-99","04/09/2020","Closed Lost","0","","","Net Insight","","SE0,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Backend or Player developer","6a7f917c-b1ba-541b-8958-68f201f90908","SE500000,00","'-99","01/26/2024","Closed Lost","15","","","ITV","","SE500000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:41","11/06/2025 12:13","1","1","0","","0,00000000","","","0,00000000"
"Bitladder optimisation","e67651b6-cfe9-c843-78a4-68f20150b659","SE0,00","'-99","10/29/2020","Closed Lost","0","","","Optus","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Bitmovin Analytics Integration","699307c3-2b4c-089a-efdb-68f201bed4d5","SE150000,00","'-99","08/17/2023","Closed Lost","50","","","Bitmovin","","SE150000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Bitmovin Integration","da2d0f2d-5046-a303-6f4c-68f2017ff829","SE200000,00","'-99","05/18/2023","Closed Won","28","","","Brand Brigade","","SE200000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Bitmovin Yospace DASH","e968c2f8-d26d-f4b5-ef3d-68f2017416e2","SE85000,00","'-99","11/10/2022","Closed Won","80","","","Bitmovin","","SE85000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Bitmovin-Verimatrix integration","7714f89f-2274-2a85-a96a-68f2018bbb7f","SE420000,00","'-99","10/20/2022","Closed Lost","75","","","Bitmovin","","SE420000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Bitrate optimisation","7eb17e40-4789-400f-3074-68f20196bd10","SE80000,00","'-99","11/25/2021","Closed Lost","35","","","Royal Opera House","","SE80000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"BlueSands IP deal","6809fb71-648c-3a4f-039f-68f20176b637","SE30000,00","'-99","02/23/2024","Closed Lost","25","","","BlueSands IP","","SE30000,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Broadcast utvecklare","d1d5ae01-9946-bb05-b5a5-68f2016e4671","SE0,00","'-99","04/29/2021","Closed Lost","0","","","Agile Content","","SE0,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Broadpeak deal","1f399229-5bd7-1e06-ec2f-68f2018e95b9","SE0,00","'-99","12/18/2020","Closed Won","0","","","Broadpeak","","SE0,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Broadpeak SSAI Test Client","2a7bc3d3-042d-3b17-af79-68f201b2385c","SE0,00","'-99","04/30/2021","Closed Lost","0","","","Broadpeak","","SE0,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Business Analysis","dda09a8a-f504-36a7-aac1-68f2010e634b","SE170000,00","'-99","02/08/2024","Closed Won","50","","","Cleeng","","SE170000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Business Analyst Polestar","75424513-5630-7295-878d-68f20108722c","SE0,00","'-99","09/23/2020","Closed Lost","0","","","Goovinn","","SE0,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Business dev (Boris)","d8440abd-c33c-9fbf-9429-68f201cf88af","SE0,00","'-99","09/09/2020","Closed Lost","0","","","Red Bee Media","","SE0,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Business Development","92d39c4f-f1c3-3c28-fab7-68f2016cc317","SE33000,00","'-99","09/02/2021","Closed Lost","30","","","Ad Lightning","","SE33000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"C++ developer","3ebdc36b-6eb6-b64b-9782-68f201bec4f2","SE1000000,00","'-99","03/03/2022","Closed Lost","50","","","Amazon","","SE1000000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"C++ developer","de9c73a8-589f-3c69-4c66-68f201bb001d","SE1000000,00","'-99","02/24/2022","Closed Lost","50","","","Agile Content","","SE1000000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"C++ development","4708d189-f223-4174-dc46-68f20150e022","SE0,00","'-99","10/15/2020","Closed Lost","0","","","Yospace","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"C++, DASH, low latency","e33ebf4f-565c-d6ff-dbba-68f200864aaa","SE0,00","'-99","04/23/2020","Closed Lost","0","","","Agile Content","","SE0,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Capacity improvements","433b0f28-6a0d-f19d-de0a-68f201ff45ce","SE200000,00","'-99","03/07/2024","Closed Won","50","","","Producer.io","","SE200000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Captions in TS files","7f9a8d7e-209f-f1b4-671f-68f201c8be34","SE0,00","'-99","06/11/2020","Closed Lost","0","","","OTTera","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"CBS extension","f362fa6d-1d26-e1ca-d227-68f20176a422","SE0,00","'-99","05/27/2021","Closed Lost","0","","","Paramount","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"CDN expert","20405aaa-0c7e-5d1f-3a78-68f201f487cc","SE0,00","'-99","11/19/2020","Closed Won","0","","","Altibox","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"CDN expert","edca2516-d330-ab0f-b104-68f2011022f3","SE200000,00","'-99","09/14/2023","Closed Lost","39","","","TV4 Media","","SE200000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"CDN översyn","d887b588-2f9a-e6ec-2f9f-68f20172cfbc","SE200000,00","'-99","05/12/2025","Closed Won","90","","","Teracom AB","","SE200000,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"CDN Pilot","e48f9d7f-ff2a-1a13-c82a-69440cdb71e8","SE600000,00","'-99","01/30/2026","Prospect","80","Skicka offert efter att vi har fått in deras arbetsbeskrivning","New Business","Teracom AB","","SE600000,00","Existing Customer","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","12/18/2025 14:15","12/18/2025 14:15","ebbf2708-f9cb-bff7-195e-68ff579f1d95","ebbf2708-f9cb-bff7-195e-68ff579f1d95","0","","0,00000000","","","0,00000000"
"CDN Selection","c7af54f8-0150-11a2-9a10-68f201cde7d8","SE35000,00","'-99","09/07/2023","Closed Lost","75","","","Tocaboca","","SE35000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"CDN Setup Assitance","22686b91-d8fc-0af5-f4d1-68f2018d2d13","SE60000,00","'-99","09/20/2023","Closed Lost","25","","","TV4 Media","","SE60000,00","","","borisasadanin","ebbf2708-f9cb-bff7-195e-68ff579f1d95","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"CDN Strategy and Product Management","8e5cfce9-d0c2-6761-af0a-68f20143a896","SE500000,00","'-99","09/07/2023","Closed Lost","15","","","Agile Content","","SE500000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"CDN UI Development","82855ac9-e050-0922-ef8a-68f201cd2eed","SE500000,00","'-99","06/22/2023","Closed Lost","70","","","Agile Content","","SE500000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Channel Engine","4ff3090f-198c-69e0-dd65-68f20117c926","SE100000,00","'-99","11/29/2024","Closed Lost","50","","","A+E Networks","","SE100000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Channel Engine","80451f29-2ba7-01c9-daaa-68f201510725","SE50000,00","'-99","05/09/2024","Closed Lost","50","","","Nenda","","SE50000,00","","","alexanderbjorneheim","88d6d3dc-1e82-5e98-2dea-68ff57fae638","10/17/2025 08:42","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Channel Engine","c9006b6a-47da-c60c-fe05-68f201b4d8e1","SE50000,00","'-99","11/16/2023","Closed Won","50","","","Tradecast TV","","SE50000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Channel engine","e17686f5-4a00-67bf-0dc3-68f2011ac921","SE0,00","'-99","08/13/2020","Closed Lost","0","","","Solidsport","","SE0,00","","","jonasbirme","5548ec37-5d60-9e14-3d62-68ff5722bdc6","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
"Channel Engine as a Service","df8a9073-c310-18f2-da08-68f2014d794b","SE100000,00","'-99","09/14/2023","Closed Lost","50","","","BibelTV","","SE100000,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:41","10/27/2025 11:34","1","1","0","","0,00000000","","","0,00000000"
"Channel Engine Development","32dcc947-e08f-24b9-97f6-68f201ef66db","SE0,00","'-99","07/30/2020","Closed Lost","0","","","Langan Digital","","SE0,00","","","magnussvensson","aa965b03-becb-7821-8519-68ff576136fb","10/17/2025 08:40","10/27/2025 11:33","1","1","0","","0,00000000","","","0,00000000"
